City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,torbay,47.6666,-52.7314,2.54,97,100,5.14,CA,1673898446
127,isiro,2.7739,27.616,23.62,37,94,1.41,CD,1673898447
128,bentiu,9.2333,29.8333,26.01,20,23,2.55,SS,1673898448
129,port blair,11.6667,92.75,22.02,88,98,0.0,IN,1673898449
130,maumere,-8.6199,122.2111,26.32,81,99,3.06,ID,1673898449
131,miandrivazo,-19.5167,45.4667,24.97,83,61,1.41,MG,1673898450
132,komsomolskiy,40.4272,71.7189,-9.6,79,3,2.06,UZ,1673898451
133,hermanus,-34.4187,19.2345,23.22,82,26,8.26,ZA,1673898452
134,pisco,-13.7,-76.2167,23.34,78,0,4.12,PE,1673898452
135,hilo,19.7297,-155.09,26.45,72,0,3.58,US,1673898182
136,aksu,41.1231,80.2644,-18.28,93,7,2.32,CN,1673898453
137,tuatapere,-46.1333,167.6833,15.45,76,38,2.81,NZ,1673898453
138,trofors,65.5333,13.4063,-4.07,93,100,3.48,NO,1673898454
139,kurumkan,54.3,110.3,-27.05,92,56,2.07,RU,1673898454
140,robertsport,6.7533,-11.3686,26.73,83,39,4.17,LR,1673898455
141,gazojak,41.1875,61.4036,-7.02,70,100,3.47,TM,1673898456
142,shevchenkove,49.6959,37.1735,-2.34,92,100,4.26,UA,1673898456
143,castro,-24.7911,-50.0119,24.39,81,96,0.93,BR,1673898292
144,dikson,73.5069,80.5464,-36.85,87,5,2.86,RU,1673898457
145,wewak,-3.5534,143.6268,24.89,81,100,1.1,PG,1673898458
146,kodiak,57.79,-152.4072,0.73,100,100,4.12,US,1673898458
147,kediri,-7.8167,112.0167,23.36,92,100,0.99,ID,1673898459
148,nattam,10.2333,78.2333,18.75,88,5,1.73,IN,1673898460
149,sa kaeo,13.75,102.3333,23.06,67,29,0.88,TH,1673898460
150,vanimo,-2.6741,141.3028,24.57,84,100,0.93,PG,1673898461
151,lukow,51.929,22.3796,3.29,96,100,5.99,PL,1673898461
152,shache,38.4167,77.2406,-20.49,96,12,1.07,CN,1673898462
153,havoysund,70.9963,24.6622,2.13,85,100,2.94,NO,1673898462
154,karratha,-20.7377,116.8463,27.6,76,58,4.98,AU,1673898463
155,caravelas,-17.7125,-39.2481,26.63,72,84,3.46,BR,1673898464
156,ulladulla,-35.35,150.4667,18.56,89,100,1.38,AU,1673898465
157,paoua,7.2427,16.4406,23.97,23,90,1.68,CF,1673898466
158,mold,53.1667,-3.1414,2.55,92,75,1.03,GB,1673898466
159,tasiilaq,65.6145,-37.6368,-6.91,71,100,4.25,GL,1673898467
160,san jose,37.3394,-121.895,13.21,75,75,7.72,US,1673898042
161,benguela,-12.5763,13.4055,25.99,74,100,1.72,AO,1673898468
162,suoyarvi,62.0833,32.35,0.39,96,100,7.53,RU,1673898469
163,qaanaaq,77.484,-69.3632,-22.71,50,76,2.31,GL,1673898470
164,slave lake,55.2834,-114.769,-4.01,86,100,5.14,CA,1673898470
165,jasper,37.2001,-94.3502,19.37,33,0,9.26,US,1673898307
166,sitka,57.0531,-135.33,4.94,87,100,2.57,US,1673898266
167,sao gabriel da cachoeira,-0.1303,-67.0892,28.89,74,75,6.17,BR,1673898472
168,geraldton,-28.7667,114.6,16.23,77,0,5.14,AU,1673898452
169,oranjestad,12.524,-70.027,29.97,76,40,6.69,AW,1673898472
